"ID_Immobile_cantiere","rif_cantiere","nome_cantiere","cantiere","stato_cantiere","agenzia","referente_cantiere","Indirizzo","coordinate","n_immobili","ID_Immobile","Rif","Stato_Immobile","Stato_trattativa","Richiesta","Macro_Tipologia","in_pubblicita","Tipologia","Sub_Tipologia","MQ_Commerciali_da","N_Bagni","N_Camere_da_Letto","Giardino","Ultimo_Agg_Prezzo","avanzamento_lavori","Inizio_Lavori","Consegna","classe_energetica"
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","46641","878-22h","Venduto/Affittato da ISP","Stipula/Contratto","265000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","108","2","2","Assente",NULL,"In Costruzione",NULL,NULL,NULL
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","46643","878-22i","Pubblicato",,"268000","Appartamento","In Pubblicità","Appartamento","Trilocale","107","1","2","Assente",NULL,"In Costruzione",NULL,NULL,"A4"
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","46645","878-22j","Venduto/Affittato da ISP","Stipula/Contratto","255000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","100","2","2","Assente",NULL,"In Costruzione",NULL,NULL,NULL
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","46647","878-22k","In Trattativa","Proposta","332000","Appartamento","Non in Pubblicità","Attico","Più di 5 Locali","133","2","2","Assente",NULL,"In Costruzione",NULL,NULL,NULL
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","46649","878-22l","In Trattativa","Proposta","335000","Appartamento","Non in Pubblicità","Attico","Più di 5 Locali","134","2","2","Assente",NULL,"In Costruzione",NULL,NULL,"A4"
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","46651","878-22m","Venduto/Affittato da ISP","Stipula/Contratto","332000","Appartamento","Non in Pubblicità","Attico","Più di 5 Locali","132","2","2","Assente",NULL,"In Costruzione",NULL,NULL,NULL
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","46653","878-22n","In Trattativa","Proposta","335000","Appartamento","Non in Pubblicità","Attico","Più di 5 Locali","134","2","1","Assente",NULL,"In Costruzione",NULL,NULL,"A4"
"45519","878-22",,"878-22 ","Cantiere/Gruppo Attivo","San Pietro in Casale","Ceneri Vittorio","San Pietro in Casale, Via Galliera Sud 48","44.69524, 11.40063","14","47515","878-22g","Venduto/Affittato da ISP","Stipula/Contratto","255000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","103","2","2","Assente",NULL,"In Costruzione",NULL,NULL,NULL
"45521","912-22",,"912-22 ","Cantiere/Gruppo Terminato","San Giorgio di Piano","Fabbri Riccardo","San Giorgio di Piano, VIA FANIN SCN","44.6529, 11.3724","1","46657","912-22a","Archiviato",,"265000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","90","1","2","Privato",NULL,,NULL,NULL,"*A+"
"45523","913-22",,"913-22 ","Cantiere/Gruppo Attivo","San Giorgio di Piano","Fabbri Riccardo","San Giorgio di Piano, VIA DELLA PACE 12","44.6473, 11.3749","1","47519","913-22a","Archiviato","Proposta","230000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","75","1","2","Privato",NULL,,NULL,NULL,NULL
"45525","914-22",,"914-22 ","Cantiere/Gruppo Terminato","San Giorgio di Piano","Fabbri Riccardo","San Giorgio di Piano, della pace 12","44.6473, 11.3749","1","47521","914-22a","Archiviato","Proposta","260000","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","95","2","2","Privato",NULL,,NULL,NULL,NULL
"45529","936-21",,"936-21 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Zola Predosa, Via Ippolito Nievo snc","44.4874, 11.2388","5","45965","936-21b","Venduto/Affittato da ISP","Stipula/Contratto","268000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","79","1","2","Privato",NULL,,NULL,NULL,NULL
